X,Y,Z
-4.451000152587890391e+00,1.518499980926514281e+00,9.703000038146972983e+00
2.789000095367431431e+00,1.448500047683716430e+00,1.010799977111816439e+01
9.840000286102295046e-01,1.403499971389771117e+00,1.023299977111816439e+01
-7.315999923706054453e+00,1.788499961853027953e+00,9.722999542236328452e+00
-1.665999947547912585e+00,1.418499957084656371e+00,1.006799980926513705e+01
8.229000152587889971e+00,2.108499895095826027e+00,1.306299969482421908e+01
-3.486000000000000210e+00,1.468500028610230101e+00,9.892999618530273764e+00
-5.565999923706054453e+00,1.573500047683716430e+00,9.392999618530273764e+00
1.865900045776367122e+01,7.784999713897720053e-01,2.319300076293945168e+01
6.399999701976775979e-02,1.398499976158142699e+00,1.023799988555908236e+01
1.818999947547912610e+00,1.403499971389771117e+00,1.014799973297119173e+01
-1.263100045776367253e+01,1.053499947547914317e+00,2.816799923706054543e+01
1.125399977111816341e+01,1.213500033378603460e+00,4.019300076293945523e+01
-1.444600003814697331e+01,8.284999833107007383e-01,1.959300038146972511e+01
4.178999961853027578e+00,1.683499942779541181e+00,4.938000171661377280e+00
-4.909999952316284055e-01,1.523499976158142477e+00,6.078000038146972983e+00
-1.525999961853027331e+00,1.533499966621399313e+00,5.878000228881836264e+00
2.763999999999999790e+00,1.558499942779541403e+00,5.482999771118164389e+00
-2.626000104904175014e+00,1.563500057220459372e+00,5.523000209808349936e+00
1.634000004768371594e+00,1.528499971389770895e+00,5.873000114440918296e+00
-3.861000000000000210e+00,1.638499985694885419e+00,4.893000095367431967e+00
5.690000071525573855e-01,1.518499980926514059e+00,6.063000171661377280e+00
3.373999895095824986e+00,1.588500033378601239e+00,5.273000209808349936e+00
-1.046000002384185779e+00,1.518499980926514059e+00,5.973000019073486655e+00
2.133999885559081822e+00,1.533499966621399313e+00,5.723000019073486655e+00
-2.096000014305114956e+00,1.533499966621399313e+00,5.703000038146972983e+00
-3.261000095367431850e+00,1.603500019073486493e+00,5.273000209808349936e+00
1.058999957084655774e+00,1.518499980926514059e+00,6.018000095367431967e+00
4.000002086162565695e-03,1.513499985694885641e+00,6.087999790191650717e+00
-2.319599908447265690e+01,-3.061499942779539296e+00,3.139800068664550636e+01
1.442399984741210872e+01,6.585000262260451986e-01,2.297299954223632668e+01
-1.224600022888183659e+01,1.133499990463259000e+00,3.612300106811523648e+01
1.180399996185302669e+01,8.085000023841877326e-01,3.119799992370605324e+01
3.444000066757201939e+00,4.784999892711651048e-01,1.861300083923339699e+01
-9.006000457763672529e+00,5.634999976158152624e-01,1.557800003814697298e+01
8.968999923706054034e+00,1.943500052452088012e+00,1.092800041961669955e+01
-7.509999856948852415e-01,1.403499971389771117e+00,1.033800026702880892e+01
4.689999833106994753e-01,8.134999976158161505e-01,3.025300022888183449e+01
-2.515999971389770717e+00,1.428499947547913207e+00,1.016800019073486361e+01
7.783999980926513906e+00,2.338499914169312355e+00,1.555799958038330111e+01
-4.491000114440917734e+00,1.513499985694885863e+00,9.878000228881836264e+00
